Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Race,Race Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,age_midpoint,LifeYearsLostUnit,LifeYearsLostTotal
Opium,T40.0,2001,2001,Female,F,White,2106-3,40-44 years,40-44,5,1783717,0.280313525071522,1,42,40.8365263221732,204.182631610866
Opium,T40.0,2003,2003,Female,F,Black or African American,2054-5,25-29 years,25-29,5,330059,1.5148806728494,1,27,55.0931361669851,275.465680834925
Opium,T40.0,2003,2003,Female,F,White,2106-3,40-44 years,40-44,5,1765457,0.283212788530109,1,42,40.8365263221732,204.182631610866
Opium,T40.0,2003,2003,Female,F,White,2106-3,60-64 years,60-64,5,1217522,0.410670197335243,1,62,23.0873624933524,115.436812466762
Opium,T40.0,2004,2004,Female,F,White,2106-3,40-44 years,40-44,5,1758221,0.284378357441983,1,42,40.8365263221732,204.182631610866
Opium,T40.0,2006,2006,Male,M,White,2106-3,50-54 years,50-54,5,1683587,0.296984949396735,1,52,28.1587713717446,140.793856858723
Opium,T40.0,2012,2012,Female,F,White,2106-3,20-24 years,20-24,5,1600323,0.312436926795403,1,22,59.9352050495816,299.676025247908
Opium,T40.0,2013,2013,Male,M,White,2106-3,75-79 years,75-79,5,681402,0.7337812333982,1,77,10.0780202604391,50.3901013021955
Opium,T40.0,2016,2016,Female,F,White,2106-3,30-34 years,30-34,5,1439540,0.347333175875627,1,32,50.2919366531769,251.459683265884
Opium,T40.0,2017,2017,Female,F,White,2106-3,30-34 years,30-34,5,1431648,0.349247859809115,1,32,50.2919366531769,251.459683265884
Opium,T40.0,2017,2017,Female,F,White,2106-3,45-49 years,45-49,5,1511596,0.330776212691751,1,47,36.1899978913884,180.949989456942
Opium,T40.0,2017,2017,Male,M,White,2106-3,55-59 years,55-59,5,1684332,0.296853589434862,1,57,24.069470321073,120.347351605365
Opium,T40.0,2018,2018,Male,M,White,2106-3,55-59 years,55-59,5,1668743,0.299626725025963,1,57,24.069470321073,120.347351605365
Opium,T40.0,2019,2019,Female,F,Black or African American,2054-5,30-34 years,30-34,5,346123,1.44457317196488,1,32,50.2919366531769,251.459683265884
Opium,T40.0,2020,2020,Male,M,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,41795,11.9631534872592,1,47,32.4736866990161,162.36843349508
Heroin,T40.1,1999,1999,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,38192,13.0917469627147,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,20-24 years,20-24,5,369758,1.35223578664965,1,22,59.9352050495816,299.676025247908
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,25-29 years,25-29,5,356194,1.40372942834523,1,27,55.0931361669851,275.465680834925
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,30-34 years,30-34,5,359467,1.39094826507023,1,32,50.2919366531769,251.459683265884
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,35-39 years,35-39,5,391222,1.27804673561303,1,37,45.5381516293446,227.690758146723
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,40-44 years,40-44,5,383258,1.30460420917502,1,42,40.8365263221732,204.182631610866
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,45-49 years,45-49,5,330032,1.515004605614,1,47,36.1899978913884,180.949989456942
Heroin,T40.1,1999,1999,Female,F,White,2106-3,20-24 years,20-24,5,1434361,0.348587280329011,1,22,59.9352050495816,299.676025247908
Heroin,T40.1,1999,1999,Female,F,White,2106-3,25-29 years,25-29,5,1479902,0.337860209662532,1,27,55.0931361669851,275.465680834925
