Year,Population,socioec quintile,Gender_Female,Gender_Male,Race_American Indian or Alaska Native,Race_Asian or Pacific Islander,Race_Black or African American,Race_More than one race,Race_White,Five-Year Age Groups_1-4 years,Five-Year Age Groups_10-14 years,Five-Year Age Groups_15-19 years,Five-Year Age Groups_20-24 years,Five-Year Age Groups_25-29 years,Five-Year Age Groups_30-34 years,Five-Year Age Groups_35-39 years,Five-Year Age Groups_40-44 years,Five-Year Age Groups_45-49 years,Five-Year Age Groups_5-9 years,Five-Year Age Groups_50-54 years,Five-Year Age Groups_55-59 years,Five-Year Age Groups_60-64 years ,Five-Year Age Groups_65-69 years,Five-Year Age Groups_70-74 years,Five-Year Age Groups_75-79 years,Five-Year Age Groups_80-84 years,Five-Year Age Groups_< 1 year,Actual Crude Rate,Predicted Crude Rate
2009,261047,4.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.9153638999873583,1.9338848622501934
2020,407651,2.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,42.192954,66.13776180597013
2003,1458456,5.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3428283060990527,0.4419570933407553
2014,264937,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.88724111769968,1.9135709835612127
2021,3582,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,1.6623722051367302
2017,1359748,4.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3677151942860001,39.710022
2013,399999,3.0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2500031250078123,1.2678169345454433
2021,1483407,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3.5,17.849045393004037
2016,19217,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,26.018629338606445,29.521549299009894
2010,34804,2.0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,14.366164808642685,14.496843763807595
2019,1631506,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,15.20068,8.896497889302053
2017,911243,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5487010599807077,0.8351389551660026
2019,258371,2.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,26.318743,40.08859861111111
2021,58714,3.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,35.8,4.638221918167212
2010,33791,4.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.796839395105208,14.496843763807595
2015,27328,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,18.29625292740047,18.200257159280387
2021,37665,4.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,13.274923669188905,6.985269594383757
2007,1621122,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.158999,1.6521879166666666
2016,1663317,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.711479,5.9202096666666675
2017,195168,5.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.5618953926873256,2.1682975690672586
2006,229871,5.0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1751330093835235,2.1801922422090843
2017,23066,5.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.676927078817307,21.846188492304805
2016,189305,4.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.641240326457305,2.1682975690672586
1999,567406,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8812032301385604,0.888188643172142
2019,281451,1.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,54.716452,40.08859861111111
2004,1648484,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.455883,1.6004327819329858
2015,1594354,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.327772,3.9460863333333336
2009,1604479,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.682789,2.249298834942601
2012,320749,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.558851313644002,1.5598787996328687
2007,330565,3.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.5125618259646365,1.5174232635453866
2020,285958,5.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.840753,17.849045393004037
2001,975871,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5123628020506809,0.5601795917219091
2021,43853,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,9.691635923733394
2021,1498420,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,22.7,17.849045393004037
2003,1448437,3.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3451996876633226,1.1775110325093634
2010,1699726,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2.35332,2.249298834942601
2001,1655432,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.3020359640263085,0.3152662069445712
2013,1805184,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.994257,2.249298834942601
2016,1843701,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.183215,8.896497889302053
2008,1957158,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.328457,1.6015134822611459
2009,191745,3.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.6076299251610213,2.6019608649746275
2003,1517310,3.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3295305507773626,0.294351056103501
2015,61044,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,8.190813183932901,7.904678318323905
2021,18470,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,27.07092582566324,29.521549299009894
2018,1491080,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,34.337527,31.251106968750005
