,foundation,granteeName,county,state,zipCode,grantedAmt,addressLine1,fips
0,BILL & MELINDA GATES FOUNDATION,100 BLACK MEN OF AMERICA INC,Fulton County,GA,30303,500000.0,141 AUBURN AVENUE,13121
1,BILL & MELINDA GATES FOUNDATION,19TH NEWS THE,Travis County,TX,78746,203846.0,3267 BEE CAVES ROAD SUITE 107-353,48453
2,BILL & MELINDA GATES FOUNDATION,2164 INC,New York County,NY,10002,81780.0,445 PARK AVENUE SUITE 16A,36061
3,BILL & MELINDA GATES FOUNDATION,74 MEDIA INC THE,New York County,NY,10038,349995.0,222 BROADWAY 19TH FLOOR,36061
4,BILL & MELINDA GATES FOUNDATION,A-ALPHA BIO INC,King County,WA,98195,243987.0,FLUKE HALL SUITE 304 4000 MASON,53033
5,BILL & MELINDA GATES FOUNDATION,AAP PHARMA TECHNOLOGIES INDIA PVT LTD,,,,108500.0,,
6,BILL & MELINDA GATES FOUNDATION,ABT ASSOCIATES INC,Montgomery County,MD,20814,711914.0,4550 MONTGOMERY AVENUE SUITE 800,24031
7,BILL & MELINDA GATES FOUNDATION,ACADEMISCH MEDISCH CENTRUM,,,,1146548.0,,
8,BILL & MELINDA GATES FOUNDATION,ACCESS DEVELOPMENT SERVICES,,,,200000.0,,
9,BILL & MELINDA GATES FOUNDATION,ACCESS DEVELOPMENT SERVICES,,,,42084.0,,
10,BILL & MELINDA GATES FOUNDATION,ACCESS HEALTH INTERNATIONAL INC,New York County,NY,10028,810515.0,1016 FIFTH AVENUE SUITE 11 A/C,36061
11,BILL & MELINDA GATES FOUNDATION,ACCESS HEALTH INTERNATIONAL INC,New York County,NY,10028,355335.0,1016 FIFTH AVENUE SUITE 11 A/C,36061
12,BILL & MELINDA GATES FOUNDATION,ACCESS HEALTH INTERNATIONAL INC,New York County,NY,10028,1288128.0,1016 FIFTH AVENUE SUITE 11 A/C,36061
13,BILL & MELINDA GATES FOUNDATION,ACCESS HEALTH INTERNATIONAL INC,New York County,NY,10028,1440592.0,1016 FIFTH AVENUE SUITE 11 A/C,36061
14,BILL & MELINDA GATES FOUNDATION,ACCESS PLANET ORGANIZATION,,,,50000.0,,
15,BILL & MELINDA GATES FOUNDATION,ACHIEVE ATLANTA INC,Fulton County,GA,30307,331000.0,191 PEACHTREE ST STE1000,13121
16,BILL & MELINDA GATES FOUNDATION,ACHIEVEMENT FIRST INC,New Haven County,CT,06513,439369.0,370 JAMES STREET SUITE 404,09009
17,BILL & MELINDA GATES FOUNDATION,ACHIEVEMENT NETWORK LTD THE,Suffolk County,MA,02108,160000.0,ONE BEACON STREET,25025
18,BILL & MELINDA GATES FOUNDATION,ACHIEVEMENT NETWORK LTD THE,Suffolk County,MA,02108,1204706.0,ONE BEACON STREET,25025
19,BILL & MELINDA GATES FOUNDATION,ACHIEVEMENT NETWORK LTD THE,Suffolk County,MA,02108,250000.0,ONE BEACON STREET,25025
20,BILL & MELINDA GATES FOUNDATION,ACHIEVING THE DREAM INC,Montgomery County,MD,20910,111453.0,8484 GEORGIA AVENUE SUITE 500,24031
21,BILL & MELINDA GATES FOUNDATION,ACHIEVING THE DREAM INC,Montgomery County,MD,20910,100000.0,8484 GEORGIA AVENUE SUITE 500,24031
22,BILL & MELINDA GATES FOUNDATION,ACHIEVING THE DREAM INC,Montgomery County,MD,20910,619742.0,8484 GEORGIA AVENUE SUITE 500,24031
23,BILL & MELINDA GATES FOUNDATION,ACHIEVING THE DREAM INC,Montgomery County,MD,20910,155000.0,8484 GEORGIA AVENUE SUITE 500,24031
24,BILL & MELINDA GATES FOUNDATION,ACHIEVING THE DREAM INC,Montgomery County,MD,20910,666276.0,8484 GEORGIA AVENUE SUITE 500,24031
25,BILL & MELINDA GATES FOUNDATION,ACME AI LTD,,,,246004.0,,
26,BILL & MELINDA GATES FOUNDATION,ACTION CONTRE LA FAIM,,,,200000.0,,
27,BILL & MELINDA GATES FOUNDATION,ACTIONAID USA,District of Columbia,DC,20005,1200000.0,1220 L STREET NW SUITE 725,11001
28,BILL & MELINDA GATES FOUNDATION,ADDIS ABABA UNIVERSITY,,,,166623.0,,
29,BILL & MELINDA GATES FOUNDATION,ADDIS ABABA UNIVERSITY,,,,592193.0,,
30,BILL & MELINDA GATES FOUNDATION,ADEY TENSAE MEDIA & ENTERTAINMENT PLC,,,,174919.0,,
31,BILL & MELINDA GATES FOUNDATION,ADMINISTRATIVE STAFF COLLEGE OF INDIA,,,,189792.0,,
32,BILL & MELINDA GATES FOUNDATION,ADMINISTRATIVE STAFF COLLEGE OF INDIA,,,,300227.0,,
33,BILL & MELINDA GATES FOUNDATION,ADMINISTRATIVE STAFF COLLEGE OF INDIA,,,,1745702.0,,
34,BILL & MELINDA GATES FOUNDATION,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUNDTHE,Orleans Parish,LA,70118,2375000.0,OFFICE OF RESEARCH ADMINISTRATION,22071
35,BILL & MELINDA GATES FOUNDATION,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUNDTHE,Orleans Parish,LA,70118,750000.0,OFFICE OF RESEARCH ADMINISTRATION,22071
36,BILL & MELINDA GATES FOUNDATION,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUNDTHE,Orleans Parish,LA,70118,770869.0,OFFICE OF RESEARCH ADMINISTRATION,22071
37,BILL & MELINDA GATES FOUNDATION,ADVANCED EDUCATION RESEARCH & DEVELOPMENT FUND,Alameda County,CA,94612,8000000.0,1616 FRANKLIN ST 2ND FLOOR,06001
38,BILL & MELINDA GATES FOUNDATION,AERAS HONG KONG LIMITED,,,,8450.0,,
39,BILL & MELINDA GATES FOUNDATION,AFGHAN HEALTH INITIATIVE,King County,WA,98092,25000.0,30607 134TH AVE SE,53033
40,BILL & MELINDA GATES FOUNDATION,AFGHANISTAN CENTER FOR TRAINING AND DEVELOPMENT,,,,916665.0,,
41,BILL & MELINDA GATES FOUNDATION,AFRICA CHECK TRUST,,,,229993.0,,
42,BILL & MELINDA GATES FOUNDATION,AFRICA HEALTH RESEARCH INSTITUTE NPC,,,,1637761.0,,
43,BILL & MELINDA GATES FOUNDATION,AFRICA HEALTH RESEARCH INSTITUTE NPC,,,,1829588.0,,
44,BILL & MELINDA GATES FOUNDATION,AFRICA HEALTH RESEARCH INSTITUTE NPC,,,,2825939.0,,
45,BILL & MELINDA GATES FOUNDATION,AFRICA HEALTH RESEARCH INSTITUTE NPC,,,,1568296.0,,
46,BILL & MELINDA GATES FOUNDATION,AFRICA HEALTH RESEARCH INSTITUTE NPC,,,,700000.0,,
47,BILL & MELINDA GATES FOUNDATION,AFRICA PUBLIC HEALTH FOUNDATION,,,,2000000.0,,
48,BILL & MELINDA GATES FOUNDATION,AFRICA RESOURCE CENTER FOR EXCELLENCE IN SUPPLY CHAIN MANAGEMENT LTDGTE,,,,1600000.0,,
49,BILL & MELINDA GATES FOUNDATION,AFRICA RESOURCE CENTRE NPC,,,,1442704.0,,
50,BILL & MELINDA GATES FOUNDATION,AFRICA RESOURCE CENTRE NPC,,,,3187177.0,,
51,BILL & MELINDA GATES FOUNDATION,AFRICA RICE CENTER,,,,796813.0,,
52,BILL & MELINDA GATES FOUNDATION,AFRICAN ACADEMY OF SCIENCES THE,,,,612089.0,,
53,BILL & MELINDA GATES FOUNDATION,AFRICAN ADAPTATION INITIATIVE OF THE AFRICAN UNION,,,,1000225.0,,
54,BILL & MELINDA GATES FOUNDATION,AFRICAN AGRICULTURAL TECHNOLOGY FOUNDATION,,,,2113502.0,,
55,BILL & MELINDA GATES FOUNDATION,AFRICAN AGRICULTURAL TECHNOLOGY FOUNDATION,,,,800916.0,,
56,BILL & MELINDA GATES FOUNDATION,AFRICAN AGRICULTURAL TECHNOLOGY FOUNDATION,,,,4215871.0,,
57,BILL & MELINDA GATES FOUNDATION,AFRICAN AGRICULTURAL TECHNOLOGY FOUNDATION,,,,3400000.0,,
58,BILL & MELINDA GATES FOUNDATION,AFRICAN CAPACITY BUILDING FOUNDATION,,,,2000000.0,,
59,BILL & MELINDA GATES FOUNDATION,AFRICAN CAPACITY BUILDING FOUNDATION,,,,1750682.0,,
60,BILL & MELINDA GATES FOUNDATION,AFRICAN CAPACITY BUILDING FOUNDATION,,,,1057976.0,,
61,BILL & MELINDA GATES FOUNDATION,AFRICAN CENTER FOR ECONOMIC TRANSFORMATION,,,,99900.0,,
62,BILL & MELINDA GATES FOUNDATION,AFRICAN DEVELOPMENT BANK,,,,1500000.0,,
63,BILL & MELINDA GATES FOUNDATION,AFRICAN DEVELOPMENT BANK,,,,3403765.0,,
64,BILL & MELINDA GATES FOUNDATION,AFRICAN DEVELOPMENT BANK,,,,1652506.0,,
