"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	25	324047	7.7
	"Heroin"	"T40.1"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	45	307330	14.6
	"Heroin"	"T40.1"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	37	267468	13.8
	"Heroin"	"T40.1"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	31	221053	14.0
	"Heroin"	"T40.1"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	15	180161	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	17	133738	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	18	319826	Unreliable
	"Heroin"	"T40.1"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	26	306094	8.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	23	271392	8.5
	"Heroin"	"T40.1"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	21	226901	9.3
	"Heroin"	"T40.1"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	12	185967	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	10	30712	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	19	304992	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	18	277771	Unreliable
	"Heroin"	"T40.1"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	21	233740	9.0
	"Heroin"	"T40.1"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	17	195424	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	302457	Unreliable
	"Heroin"	"T40.1"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	30	281536	10.7
	"Heroin"	"T40.1"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	33	240428	13.7
	"Heroin"	"T40.1"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	33	196969	16.8
	"Heroin"	"T40.1"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	312096	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	19	300312	Unreliable
	"Heroin"	"T40.1"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	20	284380	7.0
	"Heroin"	"T40.1"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	20	245557	8.1
	"Heroin"	"T40.1"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	25	201263	12.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	18	302381	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	10	297568	Unreliable
	"Heroin"	"T40.1"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	23	286507	8.0
	"Heroin"	"T40.1"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	21	249101	8.4
	"Heroin"	"T40.1"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	10	207187	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	12	289599	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	14	295965	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	11	283595	Unreliable
	"Heroin"	"T40.1"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	21	253276	8.3
	"Heroin"	"T40.1"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	16	213050	Unreliable
	"Heroin"	"T40.1"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	14	292347	Unreliable
	"Heroin"	"T40.1"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	12	279150	Unreliable
	"Heroin"	"T40.1"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	18	255336	Unreliable
	"Heroin"	"T40.1"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	18	217066	Unreliable
	"Heroin"	"T40.1"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	13	178126	Unreliable
	"Heroin"	"T40.1"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	286555	Unreliable
	"Heroin"	"T40.1"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	19	273042	Unreliable
	"Heroin"	"T40.1"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	21	255940	8.2
	"Heroin"	"T40.1"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	21	221329	9.5
	"Heroin"	"T40.1"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	13	280887	Unreliable
	"Heroin"	"T40.1"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	16	270440	Unreliable
	"Heroin"	"T40.1"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	21	257051	8.2
	"Heroin"	"T40.1"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	15	225904	Unreliable
	"Heroin"	"T40.1"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	269645	Unreliable
	"Heroin"	"T40.1"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	12	274523	Unreliable
	"Heroin"	"T40.1"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	16	268198	Unreliable
	"Heroin"	"T40.1"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	19	258924	Unreliable
	"Heroin"	"T40.1"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	16	229816	Unreliable
	"Heroin"	"T40.1"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	15	284858	Unreliable
	"Heroin"	"T40.1"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	270726	Unreliable
	"Heroin"	"T40.1"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	268899	Unreliable
	"Heroin"	"T40.1"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	14	257382	Unreliable
	"Heroin"	"T40.1"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	11	233785	Unreliable
	"Heroin"	"T40.1"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	10	194344	Unreliable
	"Heroin"	"T40.1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	12	293256	Unreliable
	"Heroin"	"T40.1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	15	275359	Unreliable
	"Heroin"	"T40.1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	12	261239	Unreliable
	"Heroin"	"T40.1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	10	271694	Unreliable
	"Heroin"	"T40.1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	19	256014	Unreliable
	"Heroin"	"T40.1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"50-54 years"	"50-54"	15	238167	Unreliable
	"Heroin"	"T40.1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	15	201115	Unreliable
	"Heroin"	"T40.1"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	16	270561	Unreliable
	"Heroin"	"T40.1"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"45-49 years"	"45-49"	12	255034	Unreliable
	"Heroin"	"T40.1"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	"55-59 years"	"55-59"	13	206796	Unreliable
	"Heroin"	"T40.1"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	15	293986	Unreliable
	"Heroin"	"T40.1"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	15	301538	Unreliable
	"Heroin"	"T40.1"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	16	282554	Unreliable
	"Heroin"	"T40.1"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	12	258752	Unreliable
