"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"< 1 year"	"1"	0	5041	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1-4 years"	"1-4"	0	21818	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"5-9 years"	"5-9"	0	27310	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"10-14 years"	"10-14"	0	26774	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	0	25865	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	0	26527	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	0	29700	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	0	26425	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	0	24664	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	0	22079	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	0	21218	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	0	19806	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	0	19376	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	0	16128	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	0	12108	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"70-74 years"	"70-74"	0	8270	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"75-79 years"	"75-79"	0	5112	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"80-84 years"	"80-84"	0	3164	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"< 1 year"	"1"	0	14369	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"1-4 years"	"1-4"	0	62267	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"5-9 years"	"5-9"	0	78007	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"10-14 years"	"10-14"	0	79549	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"15-19 years"	"15-19"	0	84825	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"20-24 years"	"20-24"	0	106027	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"25-29 years"	"25-29"	0	127055	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"30-34 years"	"30-34"	0	127872	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"35-39 years"	"35-39"	0	120201	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"40-44 years"	"40-44"	0	108289	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"45-49 years"	"45-49"	0	102692	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"50-54 years"	"50-54"	0	86528	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"55-59 years"	"55-59"	0	79802	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"60-64 years "	"60-64"	0	74573	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"65-69 years"	"65-69"	0	63703	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"70-74 years"	"70-74"	0	45405	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"75-79 years"	"75-79"	0	29407	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"80-84 years"	"80-84"	0	19286	Unreliable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Opium"	"T40.0"	"2018"	"2018"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
