Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Race,Race Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,age_midpoint
Opium,T40.0,2001,2001,Female,F,White,2106-3,40-44 years,40-44,5,1783717,0.28031352507152196,1,42.0
Opium,T40.0,2003,2003,Female,F,Black or African American,2054-5,25-29 years,25-29,5,330059,1.5148806728493995,1,27.0
Opium,T40.0,2003,2003,Female,F,White,2106-3,40-44 years,40-44,5,1765457,0.2832127885301087,1,42.0
Opium,T40.0,2003,2003,Female,F,White,2106-3,60-64 years ,60-64,5,1217522,0.4106701973352432,1,62.0
Opium,T40.0,2004,2004,Female,F,White,2106-3,40-44 years,40-44,5,1758221,0.2843783574419826,1,42.0
Opium,T40.0,2006,2006,Male,M,White,2106-3,50-54 years,50-54,5,1683587,0.2969849493967345,1,52.0
Opium,T40.0,2012,2012,Female,F,White,2106-3,20-24 years,20-24,5,1600323,0.3124369267954032,1,22.0
Opium,T40.0,2013,2013,Male,M,White,2106-3,75-79 years,75-79,5,681402,0.7337812333981996,1,77.0
Opium,T40.0,2016,2016,Female,F,White,2106-3,30-34 years,30-34,5,1439540,0.3473331758756269,1,32.0
Opium,T40.0,2017,2017,Female,F,White,2106-3,30-34 years,30-34,5,1431648,0.3492478598091151,1,32.0
Opium,T40.0,2017,2017,Female,F,White,2106-3,45-49 years,45-49,5,1511596,0.330776212691751,1,47.0
Opium,T40.0,2017,2017,Male,M,White,2106-3,55-59 years,55-59,5,1684332,0.296853589434862,1,57.0
Opium,T40.0,2018,2018,Male,M,White,2106-3,55-59 years,55-59,5,1668743,0.29962672502596266,1,57.0
Opium,T40.0,2019,2019,Female,F,Black or African American,2054-5,30-34 years,30-34,5,346123,1.4445731719648796,1,32.0
Opium,T40.0,2020,2020,Male,M,American Indian or Alaska Native,1002-5,45-49 years,45-49,5,41795,11.963153487259241,1,47.0
Heroin,T40.1,1999,1999,Female,F,American Indian or Alaska Native,1002-5,40-44 years,40-44,5,38192,13.091746962714705,1,42.0
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,20-24 years,20-24,5,369758,1.3522357866496466,1,22.0
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,25-29 years,25-29,5,356194,1.4037294283452277,1,27.0
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,30-34 years,30-34,5,359467,1.390948265070229,1,32.0
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,35-39 years,35-39,5,391222,1.2780467356130278,1,37.0
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,40-44 years,40-44,5,383258,1.3046042091750205,1,42.0
Heroin,T40.1,1999,1999,Female,F,Black or African American,2054-5,45-49 years,45-49,5,330032,1.515004605614001,1,47.0
Heroin,T40.1,1999,1999,Female,F,White,2106-3,20-24 years,20-24,5,1434361,0.34858728032901065,1,22.0
Heroin,T40.1,1999,1999,Female,F,White,2106-3,25-29 years,25-29,5,1479902,0.3378602096625317,1,27.0
Heroin,T40.1,1999,1999,Female,F,White,2106-3,30-34 years,30-34,5,1537128,0.3252819543980723,1,32.0
Heroin,T40.1,1999,1999,Female,F,White,2106-3,35-39 years,35-39,5,1766234,0.2830881978265621,1,37.0
Heroin,T40.1,1999,1999,Female,F,White,2106-3,40-44 years,40-44,5,1767976,0.2828092689041028,1,42.0
