Multiple Cause of death,Multiple Cause of death Code,Year,Year Code,Gender,Gender Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,socioec quintile,Race,Race Code,age_midpoint
Heroin,T40.1,2021.0,2021.0,Male,M,25-29 years,25-29,17.0,271509.0,Unreliable,4.0,White,2106-3,27.0
Heroin,T40.1,2021.0,2021.0,Male,M,30-34 years,30-34,23.0,288549.0,8.0,4.0,White,2106-3,32.0
Heroin,T40.1,2021.0,2021.0,Male,M,35-39 years,35-39,15.0,263352.0,Unreliable,4.0,White,2106-3,37.0
Heroin,T40.1,2021.0,2021.0,Male,M,45-49 years,45-49,12.0,230527.0,Unreliable,4.0,White,2106-3,47.0
Heroin,T40.1,2021.0,2021.0,Male,M,50-54 years,50-54,12.0,240500.0,Unreliable,4.0,White,2106-3,52.0
Heroin,T40.1,2021.0,2021.0,Male,M,55-59 years,55-59,17.0,224831.0,Unreliable,4.0,White,2106-3,57.0
Heroin,T40.1,2021.0,2021.0,Male,M,60-64 years ,60-64,18.0,199234.0,Unreliable,4.0,White,2106-3,62.0
Heroin,T40.1,2021.0,2021.0,Male,M,65-69 years,65-69,10.0,157233.0,Unreliable,4.0,White,2106-3,67.0
Other opioids,T40.2,2021.0,2021.0,Male,M,30-34 years,30-34,12.0,288549.0,Unreliable,4.0,White,2106-3,32.0
Other opioids,T40.2,2021.0,2021.0,Male,M,40-44 years,40-44,13.0,241393.0,Unreliable,4.0,White,2106-3,42.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,15-19 years,15-19,14.0,218776.0,Unreliable,4.0,White,2106-3,17.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,20-24 years,20-24,26.0,227125.0,11.4,4.0,White,2106-3,22.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,25-29 years,25-29,35.0,266742.0,13.1,4.0,White,2106-3,27.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,30-34 years,30-34,38.0,270306.0,14.1,4.0,White,2106-3,32.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,35-39 years,35-39,22.0,240029.0,9.2,4.0,White,2106-3,37.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,40-44 years,40-44,15.0,224422.0,Unreliable,4.0,White,2106-3,42.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,45-49 years,45-49,23.0,220301.0,10.4,4.0,White,2106-3,47.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,50-54 years,50-54,24.0,226211.0,10.6,4.0,White,2106-3,52.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Female,F,55-59 years,55-59,19.0,215981.0,Unreliable,4.0,White,2106-3,57.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,25-29 years,25-29,23.0,36053.0,63.8,4.0,Black or African American,2054-5,27.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,30-34 years,30-34,26.0,39190.0,66.3,4.0,Black or African American,2054-5,32.0
Other synthetic narcotics,T40.4,2021.0,2021.0,Male,M,35-39 years,35-39,23.0,30485.0,75.4,4.0,Black or African American,2054-5,37.0
