Census Region,Census Region Code,Year,Year Code,Gender,Gender Code,Single Race 6,Single Race 6 Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate,age_midpoint
Census Region 3: South,CENS-R3,2018,2018,Female,F,White,2106-3,35-39 years,35-39,12,22465,Unreliable,37.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,30-34 years,30-34,17,25885,Unreliable,32.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,35-39 years,35-39,15,25762,Unreliable,37.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,45-49 years,45-49,12,26508,Unreliable,47.0
Census Region 3: South,CENS-R3,2018,2018,Male,M,White,2106-3,50-54 years,50-54,10,26048,Unreliable,52.0
Census Region 3: South,CENS-R3,2019,2019,Female,F,White,2106-3,35-39 years,35-39,12,22113,Unreliable,37.0
Census Region 3: South,CENS-R3,2019,2019,Male,M,White,2106-3,35-39 years,35-39,16,25458,Unreliable,37.0
Census Region 3: South,CENS-R3,2019,2019,Male,M,White,2106-3,40-44 years,40-44,12,25232,Unreliable,42.0
Census Region 3: South,CENS-R3,2019,2019,Male,M,White,2106-3,50-54 years,50-54,11,25412,Unreliable,52.0
Census Region 3: South,CENS-R3,2020,2020,Female,F,White,2106-3,35-39 years,35-39,12,21665,Unreliable,37.0
Census Region 3: South,CENS-R3,2020,2020,Female,F,White,2106-3,40-44 years,40-44,15,22520,Unreliable,42.0
Census Region 3: South,CENS-R3,2020,2020,Male,M,White,2106-3,25-29 years,25-29,17,29152,Unreliable,27.0
Census Region 3: South,CENS-R3,2020,2020,Male,M,White,2106-3,30-34 years,30-34,18,26792,Unreliable,32.0
Census Region 3: South,CENS-R3,2020,2020,Male,M,White,2106-3,35-39 years,35-39,24,25093,95.6,37.0
Census Region 3: South,CENS-R3,2020,2020,Male,M,White,2106-3,40-44 years,40-44,29,25190,115.1,42.0
Census Region 3: South,CENS-R3,2020,2020,Male,M,White,2106-3,45-49 years,45-49,26,25588,101.6,47.0
Census Region 3: South,CENS-R3,2020,2020,Male,M,White,2106-3,50-54 years,50-54,17,25069,Unreliable,52.0
Census Region 3: South,CENS-R3,2020,2020,Male,M,White,2106-3,55-59 years,55-59,22,25248,87.1,57.0
Census Region 3: South,CENS-R3,2021,2021,Female,F,White,2106-3,35-39 years,35-39,14,21488,Unreliable,37.0
Census Region 3: South,CENS-R3,2021,2021,Female,F,White,2106-3,40-44 years,40-44,15,22590,Unreliable,42.0
Census Region 3: South,CENS-R3,2021,2021,Female,F,White,2106-3,45-49 years,45-49,13,22692,Unreliable,47.0
Census Region 3: South,CENS-R3,2021,2021,Female,F,White,2106-3,50-54 years,50-54,12,23683,Unreliable,52.0
