1,2,3,4,5
01005,01031,01001,01089,01117
01007,01069,01003,02090,02020
01009,01081,01051,02100,02110
01011,01083,01073,02105,06001
01013,01097,02130,02150,06013
01015,01101,02170,02220,06017
01017,01103,02195,02230,06041
01019,01115,02198,02232,06057
01021,01125,02201,02282,06059
01023,02122,02275,05007,06061
01025,02240,02280,05125,06075
01027,02261,04013,06003,06079
01029,04003,05045,06027,06081
01033,04005,05085,06037,06085
01035,04019,05119,06051,06087
01037,04021,06005,06055,06111
01039,04025,06009,06073,08007
01041,05005,06067,06083,08033
01043,05025,06069,06095,08035
01045,05031,08031,06097,08037
01047,05051,08077,06113,08039
01049,05053,09015,08001,08049
01053,05143,10001,08005,08053
01055,06007,10005,08013,08057
01057,06023,12001,08014,08065
01059,06035,12005,08015,08067
01061,06043,12009,08019,08079
01063,06045,12021,08041,08091
01065,06053,12031,08045,08097
01067,06063,12035,08047,08107
01071,06065,12057,08059,08111
01075,06071,12073,08069,08113
01077,06089,12085,08093,08117
01079,06091,12089,08119,09001
01085,06109,12095,08123,09005
01087,08027,12103,09003,09007
01091,08029,12129,09009,09013
01093,08051,13051,09011,11001
01095,08055,13077,10003,12109
01099,08081,13085,12011,13057
01105,08083,13089,12019,13067
01107,08085,13097,12087,13113
01109,08095,13103,12091,13117
01111,08103,13153,12099,13219
01113,08109,13177,12113,15003
01119,08115,13227,12115,16013
01121,08121,13247,12117,17043
01123,08125,15001,13029,17093
01127,12015,15005,13073,17097
01129,12033,15009,13121,17111
01131,12053,16005,13135,18011
01133,12061,16043,13145,18057
02013,12069,16051,13151,18063
02016,12071,16055,13223,19049
02050,12081,16057,15007,19103
02060,12086,16069,16001,20091
02068,12097,16081,16019,21015
02070,12101,17019,17089,21185
02164,12111,17027,17113,23005
02180,12119,17031,17133,24003
02185,12127,17037,17147,24005
02188,12131,17063,17167,24009
02270,13013,17129,17197,24013
02290,13047,17179,17203,24017
04001,13127,18003,18005,24021
04007,13139,18013,18059,24025
04009,13157,18029,18081,24027
04011,13169,18037,18127,24031
04012,13187,18043,18173,24033
04015,13191,18073,19011,24035
04017,13211,18105,19017,24037
04023,13215,18109,19031,25001
04027,13217,18129,19059,25007
05001,13297,18157,19061,25009
05003,13311,19015,19075,25017
05009,16007,19027,19095,25019
05011,16011,19035,19113,25021
